dataset,group,time,peer,round,accuracy,loss
cifar10,DL,19.023425,0,2,14.890000,2.232851
cifar10,DL,19.023425,0,2,16.750000,2.241296
cifar10,DL,19.023425,0,2,20.330000,2.195597
cifar10,DL,19.023425,0,2,15.600000,2.209070
cifar10,DL,19.023425,0,2,19.110000,2.195925
cifar10,DL,19.023425,0,2,18.270000,2.256413
cifar10,DL,19.023425,0,2,20.020000,2.194602
cifar10,DL,19.023425,0,2,15.300000,2.238287
cifar10,DL,19.023425,0,2,16.210000,2.176272
cifar10,DL,19.023425,0,2,18.250000,2.176052
cifar10,DL,19.023425,0,2,17.380000,2.175032
cifar10,DL,19.023425,0,2,19.490000,2.219274
cifar10,DL,19.023425,0,2,18.010000,2.181771
cifar10,DL,19.023425,0,2,16.100000,2.181338
cifar10,DL,19.023425,0,2,16.290000,2.170603
cifar10,DL,19.023425,0,2,17.690000,2.240225
cifar10,DL,19.023425,0,2,18.700000,2.213992
cifar10,DL,19.023425,0,2,18.710000,2.136413
cifar10,DL,19.023425,0,2,16.090000,2.204038
cifar10,DL,19.023425,0,2,19.900000,2.153630
cifar10,DL,19.023425,0,2,20.430000,2.125635
cifar10,DL,19.023425,0,2,18.780000,2.190825
cifar10,DL,19.023425,0,2,16.970000,2.187773
cifar10,DL,19.023425,0,2,18.290000,2.188953
cifar10,DL,19.023425,0,2,14.920000,2.220139
cifar10,DL,19.023425,0,2,13.980000,2.263081
cifar10,DL,19.023425,0,2,18.790000,2.196424
cifar10,DL,19.023425,0,2,14.940000,2.230994
cifar10,DL,19.023425,0,2,18.870000,2.191690
cifar10,DL,19.023425,0,2,18.000000,2.268462
cifar10,DL,19.023425,0,2,20.250000,2.159898
cifar10,DL,19.023425,0,2,15.710000,2.217954
cifar10,DL,19.023425,0,2,15.860000,2.238984
cifar10,DL,19.023425,0,2,21.270000,2.110065
cifar10,DL,19.023425,0,2,17.280000,2.201702
cifar10,DL,19.023425,0,2,18.460000,2.198108
cifar10,DL,19.023425,0,2,15.840000,2.223086
cifar10,DL,19.023425,0,2,19.450000,2.151629
cifar10,DL,19.023425,0,2,17.330000,2.228522
cifar10,DL,19.023425,0,2,21.380000,2.176883
cifar10,DL,19.023425,0,2,17.460000,2.169167
cifar10,DL,19.023425,0,2,14.700000,2.184225
cifar10,DL,19.023425,0,2,15.430000,2.200623
cifar10,DL,19.023425,0,2,19.340000,2.194018
cifar10,DL,19.023425,0,2,17.230000,2.213340
cifar10,DL,19.023425,0,2,16.970000,2.231409
cifar10,DL,19.023425,0,2,16.340000,2.205429
cifar10,DL,19.023425,0,2,19.910000,2.154042
cifar10,DL,19.023425,0,2,19.950000,2.185356
cifar10,DL,19.023425,0,2,14.190000,2.246948
cifar10,DL,19.023425,0,2,17.970000,2.239393
cifar10,DL,19.023425,0,2,17.850000,2.170829
cifar10,DL,19.023425,0,2,14.690000,2.336661
cifar10,DL,19.023425,0,2,15.720000,2.212476
cifar10,DL,19.023425,0,2,19.540000,2.175931
cifar10,DL,19.023425,0,2,18.080000,2.243069
cifar10,DL,19.023425,0,2,15.990000,2.164866
cifar10,DL,19.023425,0,2,18.960000,2.215564
cifar10,DL,19.023425,0,2,18.320000,2.211946
cifar10,DL,19.023425,0,2,17.000000,2.187986
cifar10,DL,19.023425,0,2,12.860000,2.287373
cifar10,DL,19.023425,0,2,15.110000,2.272692
cifar10,DL,19.023425,0,2,16.300000,2.177313
cifar10,DL,19.023425,0,2,17.530000,2.399390
cifar10,DL,19.023425,0,2,21.780000,2.116625
cifar10,DL,19.023425,0,2,17.180000,2.260430
cifar10,DL,19.023425,0,2,17.870000,2.186339
cifar10,DL,19.023425,0,2,16.770000,2.250165
cifar10,DL,19.023425,0,2,18.760000,2.254262
cifar10,DL,19.023425,0,2,17.730000,2.156151
cifar10,DL,19.023425,0,2,21.620000,2.225404
cifar10,DL,19.023425,0,2,16.970000,2.229273
cifar10,DL,19.023425,0,2,18.310000,2.204791
cifar10,DL,19.023425,0,2,19.470000,2.176474
cifar10,DL,19.023425,0,2,13.710000,2.309056
cifar10,DL,19.023425,0,2,17.730000,2.259767
cifar10,DL,19.023425,0,2,19.880000,2.186470
cifar10,DL,19.023425,0,2,18.320000,2.148115
cifar10,DL,19.023425,0,2,20.300000,2.210089
cifar10,DL,19.023425,0,2,17.190000,2.324274
cifar10,DL,19.023425,0,2,18.250000,2.173630
cifar10,DL,19.023425,0,2,19.210000,2.146821
cifar10,DL,19.023425,0,2,14.650000,2.220102
cifar10,DL,19.023425,0,2,17.450000,2.235939
cifar10,DL,19.023425,0,2,19.550000,2.197895
cifar10,DL,19.023425,0,2,18.820000,2.182925
cifar10,DL,19.023425,0,2,14.950000,2.228380
cifar10,DL,19.023425,0,2,15.920000,2.210184
cifar10,DL,19.023425,0,2,17.290000,2.199162
cifar10,DL,19.023425,0,2,14.310000,2.212791
cifar10,DL,19.023425,0,2,16.430000,2.215874
cifar10,DL,19.023425,0,2,17.440000,2.158356
cifar10,DL,19.023425,0,2,12.400000,2.275550
cifar10,DL,19.023425,0,2,15.220000,2.243569
cifar10,DL,19.023425,0,2,19.350000,2.288928
cifar10,DL,19.023425,0,2,17.100000,2.238107
cifar10,DL,19.023425,0,2,16.650000,2.198940
